,user_name,user_location,date,text,rating
0,ArsenicCatnip:33,"São Carlos, Brasil",2022-09-28 02:07:00+00:00,"Galerinha de Sanca, entusiastas de cultura japonesa ou q conhecem gente q é, peço ajuda pra divulgarem o evento que a galera do Seinen de São Carlos(grupo jovem da associação nipo br) está fazendo para divulgar os diferentes grupos vinculados.
Vai ser essa quinta, entrada grátis! https://t.co/XcUDSB5rs1",
1,Quirera com quiabo,,2022-09-28 02:04:04+00:00,Acho que ir embora de sanca é a minha maior motivação pra terminar o mestrado,
2,Verbal Kint,,2022-09-28 01:59:24+00:00,@bianickelsen Só tem a raspa de sanca,
3,PALMEIRAS sempre,,2022-09-28 00:58:08+00:00,"RT @BrazilFight: URGENTE-BOLSONARO ACUSA MORAES DE VAZAR DADOS PARA A FOLHA EM LIVE.
""Não vem com papinho que a PF vazou, que esse pessoal…",
4,PALMEIRAS sempre,,2022-09-28 00:57:22+00:00,"RT @JoseRob24292774: O velhinho na manifestação do Lula, talvez ganhando um trocadinho, foi lá, e mandou a real .😂😂😂👉👉🇧🇷🇧🇷🇧🇷 https://t.co/a…",
5,boqueta,"sp, brasil ☯︎",2022-09-28 00:43:39+00:00,"sanca na tempestade, só quem viveu sabe que isso",
6,PALMEIRAS sempre,,2022-09-28 00:33:25+00:00,"RT @heschunck: ATENÇÃO POLICIAIS FEDERAIS, ESCUTEM O EX-PRESIDIÁRIO FAZENDO AMEAÇAS CONTRA A CORPORAÇÃO…. https://t.co/wkYI9g6rFb",
7,PALMEIRAS sempre,,2022-09-28 00:32:33+00:00,"RT @FlviaLeo16: ""Você ultrapassou todos os limites Alexandre de Moraes""
Live do presidente hoje.🔥 https://t.co/AzTuSc7IhU",
8,sabrina,"Nova Iguaçu, Rio de Janeiro",2022-09-28 00:20:33+00:00,@Mateus_sanca jesus cristo pra que que eu abri esse video,
9,the colour was red e eu sou 13,"São Carlos, Brasil",2022-09-28 00:01:27+00:00,Quero entornar tanta cachaça no tusca q irei esquecer até que to em sanca juro pra vcs,
10,PALMEIRAS sempre,,2022-09-27 23:22:56+00:00,RT @EddieS6370: BOLSONARO conseguiu o que parecia impossível. https://t.co/hZDsGQdcY2,
11,PALMEIRAS sempre,,2022-09-27 23:21:46+00:00,"RT @IsaiasjrRep: Essa ponte tem mais de 1km
 Petrolina-PE hoje https://t.co/jnaWd52NCg",
12,PALMEIRAS sempre,,2022-09-27 23:08:12+00:00,"RT @Marcelo47693341: Detectada fraude ou ""problema técnico"" no teste real das urnas, em apuração no DF. Atenção total!! @jairbolsonaro @Bol…",
13,juridico nick nelson 🍂,Quinto dos inferno AKA Brasil ,2022-09-27 23:07:06+00:00,"Tem algum rolê em especial essa semana aqui em sanca? Amigos pls me chamem, n quero passar o primeiro semestre sem sair uma vez kkkrying",
14,dudaaa,,2022-09-27 23:01:06+00:00,"tem gente do meu Instagram em Madri, Rio, Portugal, Paris, Sanca e Marília, mas tbm tem gente em Fortaleza e em São Paulo haha deus",
15,soso novak❤️‍🔥,,2022-09-27 22:00:49+00:00,eu sou a melhor pagodeira de sanca,
16,PALMEIRAS sempre,,2022-09-27 21:45:08+00:00,"RT @AlexAleluia: A verdade é que, de duas semanas pra cá, os políticos estão completamente atônitos sobre o que está acontecendo na Bahia.…",
17,PALMEIRAS sempre,,2022-09-27 21:37:15+00:00,RT @TerraBrasilnot: TRE explica o motivo de urnas eletrônicas estarem em auditório de sindicato em Itapeva  https://t.co/iaIXoMm7MP,
18,yo,,2022-09-27 20:04:52+00:00,Torcendo pra eu conseguir ir no dub de sanca 🥹,
19,jão,"Cascavel, Brasil",2022-09-27 19:58:05+00:00,@GabrielWolschi1 @matthaussn @delaianaa ouvi dizer q ela ainda é vista pelos rolê em sanca,
20,Coti🫧,"Campinas, Brasil",2022-09-27 19:07:03+00:00,@RealLucasRocha halloween nós vamos pra sanca,
21,Guilherme Rocha🇧🇷🏳️‍🌈,São Carlos,2022-09-27 18:36:56+00:00,"RT @heytauat: Há apenas 5 dias das eleições, precisamos falar algo sobre o Lula que poucas pessoas falam. Muito provavelmente Lula vai venc…",
22,bela,Zootopia,2022-09-27 18:08:36+00:00,"gnt o voto é secreto

secretamente votem no djalma, ele é vereador de sanca e maravilhoso em tudo que faz
50501 psol",
23,ayoub ⓟ,,2022-09-27 17:14:06+00:00,pensando em mudar meus móveis de lugar lá em sanca,
24,𝖇𝖔𝖓𝖔,"São Carlos, Brasil",2022-09-27 16:34:54+00:00,"Minha ficha que caroline satie saiu de sanca está caindo só agora

Estou triste",
25,ciro,,2022-09-27 16:19:10+00:00,"@SouReferencias Centralizava o lustre, luz da sanca tiraria o verde e colocaria branco 3000k, cortina mais comprida, tirava esse revestimento 3d, luz focal em cima d sofá e tv trás ofuscamento e reflete na tela, trocaria o piso por porcelanato acetinado com peças maiores e mesa lateral p/ sofá",
26,matheuzin desempregado,,2022-09-27 13:39:14+00:00,"esse preconceito que a galera de sanca tem com os moradores da cidade é feio demais, tomar no cu",
27,glitter and gold ✨,,2022-09-27 12:47:00+00:00,"voltei da minha viagem de 5 meses semana passada.
Esse final de semana já vou pra sanca e no outro to organizando minha viagem já, a vida que eu sempre quis 🥹",
28,joão pedro,"Rio de Janeiro, Brazil",2022-09-27 12:21:43+00:00,@gabriel1medina marcar aquele surf em sanca quando pra nós fazer as imagens cria?,
29,PALMEIRAS sempre,,2022-09-27 10:47:16+00:00,"RT @ClaudioBatman54: Candidato A Presidência Bêbado Igual a Uma "" GAMBÁ"" em MADUREIRA-RJ....!! 😳👇 https://t.co/H5aG1jA42K",
30,xaxa,,2022-09-27 10:47:14+00:00,@codigodibarra eu moro em sanca,
31,|||ll|ll||l||||ll|||l|||||||lll,,2022-09-27 10:43:45+00:00,@m45ur10 Só vou pagar pizza pra quem ficar em sanca nas férias 🥱,
32,PALMEIRAS sempre,,2022-09-27 05:35:41+00:00,"RT @Miltonneves: O povo é muito criativo. Assim, Sim, com bom humor e nada de agressões, brigas e até mortes só por política. Ora… https://…",
33,Míriam (Ab'-lia),em algum lugar mágico,2022-09-27 04:31:07+00:00,Queria ir pra Sanca ver ela...,
34,guilli | HotD | Midnights,"São Carlos, Brasil",2022-09-27 03:56:19+00:00,Queria que aparecesse uma festinha pra eu ir no fds e me despedir de sanca,
35,Pink Pantera,Brasil,2022-09-27 03:41:51+00:00,"RT @its_LE00: Cara n lembro quem me falou do Sérgio Moro de sanca no Grindr, toda vida q aparece eu passo mal KKKKKKKK",
36,juridico nick nelson 🍂,Quinto dos inferno AKA Brasil ,2022-09-27 03:17:51+00:00,"Cara n lembro quem me falou do Sérgio Moro de sanca no Grindr, toda vida q aparece eu passo mal KKKKKKKK",
37,sigam @cordilheiracult - 林 #fazum21,Onde os liberal não localiza,2022-09-27 02:06:23+00:00,"@alexchagasmow @1marisquinho é tipo uma das lanchonete mais famosa de sanca: reza a lenda que o cara cospe na chapa pra ver se já esquentou, e ai esse é o melhor tempero pro hambúrguer

🤣🤣🤣",
38,vivi ☀️,   𔘓   santos fc,2022-09-27 00:44:26+00:00,uma acc de bruxas e simpatizantes q vai fazer uma feirinha aqui em sanca me seguiu agora me sinto na obrigação de aparecer lá e renovar minhas coisinhas de aprendiz 💗💗💗💗💗💗,
39,Rei,,2022-09-27 00:38:17+00:00,"@reformaspfazer Jovem não quer sanca de gesso cara, quer perfil de led",
40,xixi boiola,Brasil,2022-09-27 00:16:30+00:00,@tami_sanca Hehehe sempre aqui pra fazer você não querer morrer bb ❤️,
41,PALMEIRAS sempre,,2022-09-27 00:07:30+00:00,RT @SantosS51091719: O Brasil não merece um cara como esse como presidente... Caindo de Bêbado @roxmo @mfriasoficial @ThiagoResiste  @Zambe…,
42,Erick Nascimento,"Rio de Janeiro, Brasil",2022-09-26 23:43:03+00:00,"@reformaspfazer Tirando esse tapete brega, essa sanca horrível e esse sofá pra 72 pessoas...",
43,moodle,,2022-09-26 23:41:10+00:00,"@lauraamartinss to sozinho pra sanca, ja briguei com todo mundo que desistiu",
44,Gabriel Galhase,,2022-09-26 23:10:37+00:00,"@ruimderelo Vota no brabo @titobellini 211. Amanhã no almoço vamo tá fazendo panfletagem no CAASO sobre um evento com ele aqui em sanca, cola lá pra gente trocar uma ideia",
45,Rubinho,"Americana, Brasil",2022-09-26 22:27:49+00:00,@andre_gomes99 Em casa tmb acho q não ficaria o melhor clima. Mas já vou tá em sanca quando começar as apurações kkkkk,
